player_id,player_name,position,TD_2018,TD_2019,TD_2020,TD_2021,TD_2022,TD_2023,TD_2024,avg_yds_after_catch_2018,avg_yds_after_catch_2019,avg_yds_after_catch_2020,avg_yds_after_catch_2021,avg_yds_after_catch_2022,avg_yds_after_catch_2023,avg_yds_after_catch_2024,avg_yds_per_carry_2018,avg_yds_per_carry_2019,avg_yds_per_carry_2020,avg_yds_per_carry_2021,avg_yds_per_carry_2022,avg_yds_per_carry_2023,avg_yds_per_carry_2024,completion_rate_2018,completion_rate_2019,completion_rate_2020,completion_rate_2021,completion_rate_2022,completion_rate_2023,completion_rate_2024,games_played_2018,games_played_2019,games_played_2020,games_played_2021,games_played_2022,games_played_2023,games_played_2024,receive_attempts_2018,receive_attempts_2019,receive_attempts_2020,receive_attempts_2021,receive_attempts_2022,receive_attempts_2023,receive_attempts_2024,rush_attempts_2018,rush_attempts_2019,rush_attempts_2020,rush_attempts_2021,rush_attempts_2022,rush_attempts_2023,rush_attempts_2024,team_2025,division,stadium_type,BYE,exp,pos_roster,avg_team_time_on_offense,strength_o_line,strength_of_schedule_calc,strength_of_qb,odd_run,odd_throw,games_played_total_career,avg_games_played_per_szn
00-0019596,T.Brady,QB,33.0,27.0,54.0,48.0,28.0,,,6.0,,,,,,,1.1071428571428572,1.3076923076923077,0.0697674418604651,2.793103448275862,-0.0344827586206896,,,0.6618705035971223,0.6046153846153847,0.6443850267379679,0.671604938271605,0.6570713391739674,,,19.0,17.0,20.0,19.0,18.0,,,1.0,0.0,0.0,0.0,1.0,,,28.0,26.0,43.0,29.0,29.0,,,TB,NFC South,outdoor,11.0,22.0,QB,68.22222222222223,91.18739,0.5095879677407025,,0.30781758,0.6921824,93,18.6
00-0020531,D.Brees,QB,40.0,29.0,29.0,,,,,3.0,,,,,,,0.5555555555555556,0.1,0.1304347826086956,,,,,0.7372134038800705,0.7469586374695864,0.6954643628509719,,,,,17.0,12.0,14.0,,,,,1.0,0.0,0.0,,,,,36.0,10.0,23.0,,,,,NO,NFC South,indoor,6.0,19.0,QB,64.44444444444444,74.35508,0.4756144173068837,,0.44396552,0.5560345,43,14.333333333333334
00-0021206,J.McCown,QB,1.0,0.0,,,,,,,,,,,,,6.4,3.0,,,,,,0.5454545454545454,0.7241379310344828,,,,,,4.0,3.0,,,,,,0.0,0.0,,,,,,5.0,7.0,,,,,,PHI,NFC East,outdoor,10.0,17.0,QB,68.17647058823529,60.594673,0.4568435217224144,,0.38222605,0.61777395,7,3.5
00-0021547,A.Gates,TE,3.0,,,,,,,4.135135135135135,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,57.0,,,,,,,0.0,,,,,,,LAC,AFC West,outdoor,8.0,15.0,TE,59.44444444444444,64.76624,0.4853036731261705,0.4583333333333333,0.39252338,0.60747665,17,17.0
00-0022127,J.Witten,TE,,4.0,2.0,,,,,,2.571428571428572,1.5384615384615383,,,,,,,,,,,,,,,,,,,,16.0,10.0,,,,,,83.0,17.0,,,,,,0.0,0.0,,,,,LV,AFC West,indoor,6.0,17.0,TE,64.0,74.42612,0.5318519951840385,0.6267523256884959,0.4111328,0.5888672,26,13.0
00-0022787,M.Schaub,QB,0.0,3.0,0.0,,,,,0.0,,,,,,,0.0,-1.0,-1.3333333333333333,,,,,0.7142857142857143,0.746268656716418,,,,,,2.0,5.0,1.0,,,,,1.0,0.0,0.0,,,,,1.0,3.0,3.0,,,,,ATL,NFC South,indoor,10.0,16.0,QB,66.8125,62.227356,0.5462998796009632,,0.35734332,0.6426567,8,2.6666666666666665
00-0022803,E.Manning,QB,22.0,6.0,,,,,,,,,,,,,1.3333333333333333,1.75,,,,,,0.6597222222222222,0.6190476190476191,,,,,,16.0,4.0,,,,,,0.0,0.0,,,,,,15.0,4.0,,,,,,NYG,NFC East,outdoor,11.0,15.0,QB,63.1875,59.12354,0.4565206290849673,,0.32542038,0.6745796,20,10.0
00-0022921,L.Fitzgerald,WR,7.0,4.0,1.0,,,,,2.971014492753623,5.424657534246576,3.425925925925926,,,,,,,,,,,,1.0,,,,,,,16.0,16.0,13.0,,,,,112.0,107.0,72.0,,,,,0.0,0.0,0.0,,,,,ARI,NFC West,indoor,8.0,16.0,WR,66.75,75.97468,0.4623578323873409,0.679771505376344,0.39325842,0.60674155,45,15.0
00-0022924,B.Roethlisberger,QB,37.0,0.0,37.0,25.0,,,,-1.0,,,,,,,3.161290322580645,7.0,0.4230769230769231,0.1818181818181818,,,,0.6696296296296296,0.5645161290322581,0.6597633136094675,0.6456086286594761,,,,16.0,2.0,16.0,17.0,,,,1.0,0.0,0.0,0.0,,,,31.0,1.0,26.0,22.0,,,,PIT,AFC North,outdoor,7.0,17.0,QB,64.77777777777777,68.4622,0.5249673748641757,,0.3516295,0.6483705,51,12.75
00-0022942,P.Rivers,QB,35.0,23.0,26.0,,,,,,,,,,,,1.0476190476190477,2.4166666666666665,-0.4736842105263157,,,,,0.6666666666666666,0.6598984771573604,0.6723259762308998,,,,,18.0,16.0,17.0,,,,,0.0,0.0,0.0,,,,,21.0,12.0,19.0,,,,,IND,AFC South,indoor,7.0,16.0,QB,64.0,86.04723,0.4483042959185738,,0.42922795,0.57077205,51,17.0
00-0022943,B.Watson,TE,2.0,0.0,,,,,,2.611111111111111,4.45,,,,,,,,,,,,,,,,,,,,14.0,10.0,,,,,,47.0,28.0,,,,,,0.0,0.0,,,,,,NE,AFC East,outdoor,10.0,15.0,TE,67.11764705882354,79.818306,0.4674378781440337,0.5523076923076924,0.3952673,0.6047327,24,12.0
00-0023436,A.Smith,QB,11.0,,6.0,,,,,,,,,,,,4.097560975609756,,0.3,,,,,0.625,,0.6666666666666666,,,,,10.0,,8.0,,,,,0.0,,0.0,,,,,41.0,,10.0,,,,,WAS,NFC East,outdoor,8.0,15.0,QB,65.3529411764706,51.04338,0.4621299500192234,,0.34833482,0.65166515,18,9.0
