season,player_id,player_name,position,team_2025,rush_attempts,rushing_yards,rushing_tds,receive_attempts,receptions,receiving_yards,receiving_tds,receiving_yards_after_catch,passing_tds,completions,attempts,passing_yards,games_played,completion_rate,avg_yds_per_carry,avg_yds_after_catch,TD,player_name_roster,pos_roster,exp,jersey_number,status,games_played_total_career,seasons_in_data,avg_games_played_per_szn,run_plays,pass_plays,total_plays,odd_run,odd_throw,strength_o_line,avg_team_time_on_offense,strength_of_schedule_calc,BYE,division,stadium_type,strength_of_qb,headshot_url,espn_id,image_url
2018,00-0032104,A.Abdullah,RB,DET,1,1.0,0,2,2,18.0,0,19.0,0,0,0,0.0,4,,1.0,9.5,0,,,,,,99,7,14.142857142857142,382.0,632.0,1014.0,0.37672585,0.62327415,57.444054,63.375,0.4890579312865497,6.0,NFC North,indoor,0.5365129835718071,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/giro3mhmn4tbczon9xro",2576336,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/giro3mhmn4tbczon9xro"
2018,00-0032104,A.Abdullah,RB,MIN,0,0.0,0,2,1,10.0,0,9.0,0,0,0,0.0,4,,,9.0,0,Ameer Abdullah,RB,3.0,31.0,ACT,99,7,14.142857142857142,331.0,665.0,996.0,0.3323293,0.66767067,61.79393,62.25,0.4912280701754386,10.0,NFC North,indoor,0.7013201320132013,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/giro3mhmn4tbczon9xro",2576336,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/giro3mhmn4tbczon9xro"
2019,00-0032104,A.Abdullah,RB,MIN,24,124.0,0,22,16,95.0,1,83.0,0,0,0,0.0,13,,5.166666666666667,5.1875,1,Ameer Abdullah,RB,4.0,31.0,ACT,99,7,14.142857142857142,502.0,575.0,1077.0,0.46610957,0.5338904,57.92812,59.833333333333336,0.5018215132056721,12.0,NFC North,indoor,0.6299603174603174,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/giro3mhmn4tbczon9xro",2576336,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/giro3mhmn4tbczon9xro"
2020,00-0032104,A.Abdullah,RB,MIN,8,42.0,0,9,8,58.0,2,63.0,0,0,0,0.0,6,,5.25,7.875,2,Ameer Abdullah,RB,5.0,31.0,ACT,99,7,14.142857142857142,448.0,576.0,1024.0,0.4375,0.5625,54.833126,64.0,0.4902471405228758,7.0,NFC North,indoor,0.6763565891472868,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vxh4hsf50saa0br57zgj",2576336,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vxh4hsf50saa0br57zgj"
2021,00-0032104,A.Abdullah,RB,CAR,44,136.0,0,49,35,272.0,1,275.0,0,0,0,0.0,15,,3.090909090909091,7.857142857142857,1,Ameer Abdullah,RB,6.0,20.0,ACT,99,7,14.142857142857142,416.0,683.0,1099.0,0.37852594,0.6214741,47.072536,64.6470588235294,0.4963880288957688,13.0,NFC South,outdoor,0.5638652535204259,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rdnyt8rtgggzetl9udfu",2576336,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rdnyt8rtgggzetl9udfu"
2021,00-0032104,A.Abdullah,RB,MIN,7,30.0,0,4,3,17.0,0,19.0,0,0,0,0.0,15,,4.285714285714286,6.333333333333333,0,,,,,,99,7,14.142857142857142,428.0,648.0,1076.0,0.3977695,0.6022305,74.55339,63.294117647058826,0.4963805129895095,7.0,NFC North,indoor,0.6469597940186175,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rdnyt8rtgggzetl9udfu",2576336,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rdnyt8rtgggzetl9udfu"
2022,00-0032104,A.Abdullah,RB,LV,4,20.0,0,32,25,211.0,1,195.0,0,0,0,0.0,13,,5.0,7.8,1,Ameer Abdullah,RB,7.0,22.0,ACT,99,7,14.142857142857142,399.0,649.0,1048.0,0.3807252,0.6192748,67.52364,61.64705882352941,0.4670804751209049,6.0,AFC West,indoor,0.6230619689915038,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ischbuioesyvw4w0fjxv",2576336,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ischbuioesyvw4w0fjxv"
2023,00-0032104,A.Abdullah,RB,LV,15,89.0,0,24,19,131.0,0,88.0,0,0,0,0.0,16,,5.933333333333334,4.631578947368421,0,Ameer Abdullah,RB,8.0,22.0,ACT,99,7,14.142857142857142,391.0,606.0,997.0,0.39217654,0.6078235,56.400406,58.64705882352941,0.4903226925445101,13.0,AFC West,indoor,0.6064992917426199,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cvjebibvlvv8bclqyc8a",2576336,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cvjebibvlvv8bclqyc8a"
2024,00-0032104,A.Abdullah,RB,LV,66,311.0,2,47,40,261.0,3,252.0,0,0,0,0.0,13,,4.712121212121212,6.3,5,Ameer Abdullah,RB,9.0,8.0,INA,99,7,14.142857142857142,351.0,703.0,1054.0,0.33301708,0.66698295,51.68756,62.0,0.5222465043809061,10.0,AFC West,indoor,0.6363027515532962,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/atwi5p12mlgnsl4y8cgt",2576336,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/atwi5p12mlgnsl4y8cgt"
2018,00-0033296,A.Armah,RB,CAR,9,15.0,2,1,1,5.0,0,5.0,0,0,0,0.0,8,,1.6666666666666667,5.0,2,Alex Armah,RB,1.0,40.0,ACT,34,5,6.8,372.0,626.0,998.0,0.37274548,0.6272545,70.11246,62.375,0.4936683006535948,4.0,NFC South,outdoor,0.6513171412195993,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/crmtpdadikaojxqou3vc",4212884,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/crmtpdadikaojxqou3vc"
2019,00-0033296,A.Armah,RB,CAR,6,11.0,1,2,2,6.0,0,7.0,0,0,0,0.0,6,,1.8333333333333333,3.5,1,Alex Armah,RB,2.0,40.0,ACT,34,5,6.8,357.0,716.0,1073.0,0.33271202,0.667288,42.586494,67.0625,0.5361492733058135,7.0,NFC South,outdoor,0.5732970643703393,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/crmtpdadikaojxqou3vc",4212884,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/crmtpdadikaojxqou3vc"
2020,00-0033296,A.Armah,RB,CAR,6,9.0,0,9,5,18.0,0,20.0,0,0,0,0.0,12,,1.5,4.0,0,Alex Armah,FB,3.0,40.0,ACT,34,5,6.8,358.0,624.0,982.0,0.36456212,0.6354379,64.057785,61.375,0.5279175266597868,13.0,NFC South,outdoor,0.6312427409988386,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fjfbrekts4cyentbb0rl",4212884,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fjfbrekts4cyentbb0rl"
2021,00-0033296,A.Armah,RB,NO,5,21.0,0,1,1,1.0,1,1.0,0,0,0,0.0,5,,4.2,1.0,1,,,,,,34,5,6.8,459.0,581.0,1040.0,0.44134617,0.55865383,58.540142,61.1764705882353,0.4971569639207592,6.0,NFC South,indoor,0.5866549372866078,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/m7e4m3npoqhgw9kngd1e",4212884,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/m7e4m3npoqhgw9kngd1e"
