team,division,stadium_type
BUF,AFC East,outdoor
MIA,AFC East,outdoor
NE,AFC East,outdoor
NYJ,AFC East,outdoor
BAL,AFC North,outdoor
CIN,AFC North,outdoor
CLE,AFC North,outdoor
PIT,AFC North,outdoor
HOU,AFC South,indoor
IND,AFC South,indoor
JAX,AFC South,outdoor
TEN,AFC South,outdoor
DEN,AFC West,outdoor
KC,AFC West,outdoor
LV,AFC West,indoor
LAC,AFC West,outdoor
DAL,NFC East,indoor
NYG,NFC East,outdoor
PHI,NFC East,outdoor
WAS,NFC East,outdoor
CHI,NFC North,outdoor
DET,NFC North,indoor
GB,NFC North,outdoor
MIN,NFC North,indoor
ATL,NFC South,indoor
CAR,NFC South,outdoor
NO,NFC South,indoor
TB,NFC South,outdoor
ARI,NFC West,indoor
LA,NFC West,outdoor
SF,NFC West,outdoor
SEA,NFC West,outdoor
